tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,6,22,13,10,7,2550,107,17,male,1,prr,,1,0,6259,6259,6259,elephant4,right,1,,none,none,none,none,none,0,none,6259,,,,1,,,AP
alexandra,24m2h,2024,6,22,13,10,19,2550,107,17,male,1,prr,,1,0,9304,9304,9304,flower,,1,,,,,,,0,,9304,,,,1,,,
alexandra,24m2h,2024,6,22,13,10,34,2550,107,17,male,1,prr,,1,0,8417,8417,8417,bus,,1,,,,,,,0,,8417,,,,1,,,
alexandra,24m2h,2024,6,22,13,10,47,2550,107,17,male,1,prr,,1,0,6290,6290,6290,flower,,1,,,,,,,0,,6290,,,,1,,,
alexandra,24m2h,2024,6,22,13,10,58,2550,107,17,male,1,prr,,1,0,6286,7145,7145,elephant2,,1,,,,,,,0,,7145,,,,1,,,
alexandra,24m2h,2024,6,22,13,11,10,2550,107,17,male,1,prr,,1,0,3787,3787,3787,flower,,1,,,,,,,1,,3787,,,,1,,,
alexandra,24m2h,2024,6,22,13,11,31,2550,107,17,male,1,tpr,prpt,0,0,4389,4390,4390,flower,,1,9,,,,,,1,,4390,,,prpt,0,,,
alexandra,24m2h,2024,6,22,13,11,43,2550,107,17,male,2,tpr,prpt,0,0,379,1471,1471,elephant2,,1,9,,,,,,1,,1471,,,prpt,0,,,
alexandra,24m2h,2024,6,22,13,11,49,2550,107,17,male,3,tpr,prpt,1,0,2063,2063,2063,bus,,1,,,,,,,1,,2063,,2063,prpt,1,1,,
alexandra,24m2h,2024,6,22,13,11,56,2550,107,17,male,4,tpr,prpt,1,0,1411,2002,2002,bus,,1,,,,,,,1,,2002,,2002,prpt,1,1,,
alexandra,24m2h,2024,6,22,13,12,2,2550,107,17,male,5,tpr,prpt,1,0,3648,3648,3648,apple,,1,,,,,,,1,,3648,,3648,prpt,1,1,,
alexandra,24m2h,2024,6,22,13,12,10,2550,107,17,male,6,tpr,inhb,0,0,167,167,167,owl,,0,3,,,,,,1,,167,,,inhb,0,,,
alexandra,24m2h,2024,6,22,13,12,18,2550,107,17,male,7,tpr,prpt,1,0,2528,2551,2551,elephant2,,1,,,,,,,1,,2551,,2551,prpt,1,1,,
alexandra,24m2h,2024,6,22,13,12,25,2550,107,17,male,8,tpr,inhb,1,0,1306,1306,1306,elephant,,1,,,,,,,1,,1306,1306,,inhb,1,,1,
alexandra,24m2h,2024,6,22,13,12,30,2550,107,17,male,9,tpr,inhb,1,0,15,15,15,elephant4,,0,3,,,,,,1,,15,,,inhb,1,,,
alexandra,24m2h,2024,6,22,13,12,35,2550,107,17,male,10,tpr,prpt,1,0,290,3625,3625,apple,,1,,,,,,,1,,3625,,3625,prpt,1,1,,
alexandra,24m2h,2024,6,22,13,12,42,2550,107,17,male,11,tpr,inhb,0,0,763,763,763,owl,,1,,,,,,,1,,763,,,inhb,0,,,
alexandra,24m2h,2024,6,22,13,12,48,2550,107,17,male,12,tpr,prpt,1,0,60,912,912,bus,,1,,,,,,,1,,912,,912,prpt,1,1,,
