tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median prpt time,median inh time,trialVar,accu,accu prpt,accu inh,coder
alexandra,24m2h,2024,7,2,13,51,27,2563,115,24,other,1,prr,,1,0,22016,22017,22017,bus,right,1,,none,none,none,none,none,0,none,22017,,,,1,,,AP
alexandra,24m2h,2024,7,2,13,51,53,2563,115,24,other,1,prr,,1,0,2960,2960,2960,owl,,1,,,,,,,1,,2960,,,,1,,,
alexandra,24m2h,2024,7,2,13,52,0,2563,115,24,other,1,tpr,prpt,1,0,1497,1497,1497,elephant,,1,,,,,,,1,,1497,,1497,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,6,2563,115,24,other,2,tpr,prpt,1,0,3541,3541,3541,elephant4,,1,,,,,,,1,,3541,,3541,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,14,2563,115,24,other,3,tpr,prpt,1,0,1501,1516,1516,bus,,1,,,,,,,1,,1516,,1516,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,19,2563,115,24,other,4,tpr,prpt,1,0,1498,1498,1498,elephant,,1,,,,,,,1,,1498,,1498,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,25,2563,115,24,other,5,tpr,inhb,0,0,2556,2557,2557,bus,,1,,,,,,,1,,2557,,,inhb,0,,,
alexandra,24m2h,2024,7,2,13,52,34,2563,115,24,other,6,tpr,prpt,1,0,1160,1160,1160,apple,,1,,,,,,,1,,1160,,1160,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,40,2563,115,24,other,7,tpr,prpt,1,0,1584,1584,1584,owl,,1,,,,,,,1,,1584,,1584,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,45,2563,115,24,other,8,tpr,prpt,1,0,1814,1814,1814,flower,,1,,,,,,,1,,1814,,1814,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,51,2563,115,24,other,9,tpr,prpt,1,0,1826,1826,1826,bus,,1,,,,,,,1,,1826,,1826,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,52,57,2563,115,24,other,10,tpr,inhb,1,0,2061,2061,2061,apple,,1,,,,,,,1,,2061,2061,,inhb,1,,1,
alexandra,24m2h,2024,7,2,13,53,3,2563,115,24,other,11,tpr,prpt,1,0,1804,1804,1804,bus,,1,,,,,,,1,,1804,,1804,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,53,9,2563,115,24,other,12,tpr,prpt,1,0,1389,1389,1389,flower,,1,,,,,,,1,,1389,,1389,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,53,15,2563,115,24,other,13,tpr,inhb,1,0,1766,1766,1766,elephant4,,1,,,,,,,1,,1766,1766,,inhb,1,,1,
alexandra,24m2h,2024,7,2,13,53,21,2563,115,24,other,14,tpr,inhb,1,0,1464,1464,1464,apple,,1,,,,,,,1,,1464,1464,,inhb,1,,1,
alexandra,24m2h,2024,7,2,13,53,27,2563,115,24,other,15,tpr,prpt,1,0,1654,1654,1654,bus,,1,,,,,,,1,,1654,,1654,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,53,32,2563,115,24,other,16,tpr,inhb,1,0,1655,1655,1655,elephant,,1,,,,,,,1,,1655,1655,,inhb,1,,1,
alexandra,24m2h,2024,7,2,13,53,38,2563,115,24,other,17,tpr,prpt,1,0,2225,2225,2225,elephant2,,1,,,,,,,1,,2225,,2225,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,53,45,2563,115,24,other,18,tpr,inhb,1,0,1846,1846,1846,elephant,,1,,,,,,,1,,1846,1846,,inhb,1,,1,
alexandra,24m2h,2024,7,2,13,53,51,2563,115,24,other,19,tpr,prpt,1,0,2031,2415,2415,elephant2,,1,,,,,,,1,,2415,,2415,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,53,57,2563,115,24,other,20,tpr,prpt,1,0,1470,1471,1471,apple,,1,,,,,,,1,,1471,,1471,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,3,2563,115,24,other,21,tpr,prpt,1,0,1069,1069,1069,flower,,1,,,,,,,1,,1069,,1069,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,8,2563,115,24,other,22,tpr,prpt,1,0,1345,1345,1345,flower,,1,,,,,,,1,,1345,,1345,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,14,2563,115,24,other,23,tpr,prpt,1,0,1726,1726,1726,bus,,1,,,,,,,1,,1726,,1726,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,20,2563,115,24,other,24,tpr,inhb,1,0,1811,1811,1811,elephant,,1,,,,,,,1,,1811,1811,,inhb,1,,1,
alexandra,24m2h,2024,7,2,13,54,26,2563,115,24,other,25,tpr,prpt,1,0,2126,2126,2126,elephant4,,1,,,,,,,1,,2126,,2126,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,32,2563,115,24,other,26,tpr,prpt,1,0,1306,1306,1306,flower,,1,,,,,,,1,,1306,,1306,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,38,2563,115,24,other,27,tpr,prpt,1,0,1772,1772,1772,bus,,1,,,,,,,1,,1772,,1772,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,44,2563,115,24,other,28,tpr,prpt,1,0,763,763,763,elephant4,,1,,,,,,,1,,763,,763,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,49,2563,115,24,other,29,tpr,prpt,1,0,497,497,497,owl,,1,,,,,,,1,,497,,497,prpt,1,1,,
alexandra,24m2h,2024,7,2,13,54,53,2563,115,24,other,30,tpr,inhb,1,0,2388,2389,2389,apple,,1,,,,,,,1,,2389,2389,,inhb,1,,1,
alexandra,24m2h,2024,7,2,13,55,0,2563,115,24,other,31,tpr,prpt,0,0,18,19,19,elephant2,,0,3,,,,,,1,,19,,,prpt,0,,,
alexandra,24m2h,2024,7,2,13,55,6,2563,115,24,other,32,tpr,prpt,1,0,1686,1687,1687,apple,,1,,,,,,,1,,1687,,1687,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811,1584,,,23/23,7 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.875,
