tester,testName,year,mth,day,hour,min,sec,partNo,partRef,age,gender,trialNo,trialType,trialVar,accu,dotPr,touchTime,respTime,trialTime,animShown,prpt location,validity_basedonRT,reason invalid,terminated early?,reason terminated,held back?,override software,Reason overwritten,retain RT as >5000ms,notes,respTime,median time inh.,med. Time prpt,trialVar,accu,accu prpt,accu inh,Coder
alexandra,24m2h,2024,7,30,13,11,31,2625,119,21,female,1,prl,,1,0,10203,10204,10204,elephant4,left,1,none,none,none,none,none,none,0,none,10204,,,,1,,,AP
alexandra,24m2h,2024,7,30,13,11,46,2625,119,21,female,1,prl,,1,0,9305,12549,12549,owl,,1,,,,,,,0,,12549,,,,1,,,
alexandra,24m2h,2024,7,30,13,12,3,2625,119,21,female,1,tpl,prpt,1,0,2303,2303,2303,elephant,,1,,,,,,,1,,2303,,2303,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,12,10,2625,119,21,female,2,tpl,prpt,1,0,3244,3244,3244,elephant,,1,,,,,,,1,,3244,,3244,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,12,17,2625,119,21,female,3,tpl,prpt,1,0,1300,1300,1300,elephant2,,1,,,,,,,1,,1300,,1300,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,12,23,2625,119,21,female,4,tpl,prpt,1,0,3195,3219,3219,owl,,1,,,,,,,1,,3219,,3219,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,12,30,2625,119,21,female,5,tpl,prpt,1,0,2778,2778,2778,elephant,,1,,,,,,,1,,2778,,2778,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,12,37,2625,119,21,female,6,tpl,inhb,1,0,1786,1786,1786,owl,,1,,,,,,,1,,1786,1786,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,12,42,2625,119,21,female,7,tpl,prpt,1,0,3449,3456,3456,elephant2,,1,,,,,,,1,,3456,,3456,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,12,50,2625,119,21,female,8,tpl,prpt,1,0,2744,3360,3360,flower,,1,,,,,,,1,,3360,,3360,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,12,58,2625,119,21,female,9,tpl,prpt,1,0,1536,1536,1536,elephant4,,1,,,,,,,1,,1536,,1536,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,13,3,2625,119,21,female,10,tpl,inhb,1,0,2853,2853,2853,bus,,1,,,,,,,1,,2853,2853,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,13,10,2625,119,21,female,11,tpl,prpt,1,0,1985,2008,2008,elephant4,,1,,,,,,,1,,2008,,2008,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,13,17,2625,119,21,female,12,tpl,inhb,1,0,1453,1453,1453,owl,,1,,,,,,,1,,1453,1453,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,13,22,2625,119,21,female,13,tpl,prpt,1,0,8316,8339,8339,elephant,,1,,,,,,,0,,8339,,,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,13,34,2625,119,21,female,14,tpl,prpt,1,0,2786,2786,2786,flower,,1,,,,,,,1,,2786,,2786,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,13,41,2625,119,21,female,15,tpl,prpt,1,0,1496,1497,1497,elephant2,,1,,,,,,,1,,1497,,1497,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,13,47,2625,119,21,female,16,tpl,inhb,1,0,2297,2297,2297,flower,,1,,,,,,,1,,2297,2297,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,13,54,2625,119,21,female,17,tpl,prpt,1,0,3228,3228,3228,elephant2,,1,,,,,,,1,,3228,,3228,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,14,1,2625,119,21,female,18,tpl,inhb,1,0,14311,14343,14343,flower,,1,,,,,,,0,,14343,,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,14,20,2625,119,21,female,19,tpl,prpt,0,0,3145,3145,3145,flower,,1,,,,,,,1,,3145,,,prpt,0,,,
alexandra,24m2h,2024,7,30,13,14,28,2625,119,21,female,20,tpl,inhb,1,0,2771,2771,2771,elephant,,1,,,,,,,1,,2771,2771,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,14,35,2625,119,21,female,21,tpl,prpt,1,0,2659,2659,2659,flower,,1,,,,,,,1,,2659,,2659,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,14,42,2625,119,21,female,22,tpl,prpt,1,0,2277,2277,2277,elephant4,,1,,,,,,,1,,2277,,2277,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,14,48,2625,119,21,female,23,tpl,inhb,1,0,2522,2629,2629,owl,,1,,,,,,,1,,2629,2629,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,14,55,2625,119,21,female,24,tpl,prpt,1,0,4000,4000,4000,apple,,1,,,,,,,1,,4000,,4000,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,15,3,2625,119,21,female,25,tpl,prpt,1,0,3252,3252,3252,owl,,1,,,,,,,1,,3252,,3252,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,15,10,2625,119,21,female,26,tpl,prpt,1,0,1225,1225,1225,owl,,1,,,,,,,1,,1225,,1225,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,15,15,2625,119,21,female,27,tpl,prpt,1,0,2162,2162,2162,elephant4,,1,,,,,,,1,,2162,,2162,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,15,22,2625,119,21,female,28,tpl,prpt,1,0,1702,1702,1702,apple,,1,,,,,,,1,,1702,,1702,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,15,28,2625,119,21,female,29,tpl,inhb,1,0,2699,13462,13462,elephant,,1,,,,,,,0,,13462,,,inhb,1,,1,
alexandra,24m2h,2024,7,30,13,15,45,2625,119,21,female,30,tpl,prpt,1,0,2336,2336,2336,owl,,1,,,,,,,1,,2336,,2336,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,15,52,2625,119,21,female,31,tpl,prpt,1,0,1700,1700,1700,bus,,1,,,,,,,1,,1700,,1700,prpt,1,1,,
alexandra,24m2h,2024,7,30,13,15,57,2625,119,21,female,32,tpl,prpt,1,0,1765,1765,1765,elephant2,,1,,,,,,,1,,1765,,1765,prpt,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2463,2319.5,,,23/24,8 out of 8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9583,1,
